Station Name,Address,Phone Number,Brand
Auto Posto Ricardo,"Av Parada Pinto 1233, Vila Nova Cachoeirinha, São Paulo",(11) 3983-8740,
Duque Santana Auto Posto,"Rua Voluntários da Pátria 1375, Santana, São Paulo",(11) 2221-5852,
Auto Posto Guiquirino,"Av Guilherme 1107, Vila Guilherme, São Paulo",(11) 2218-1577,
Auto Posto Jalisco,"Av Conceição 2017, Vila Paiva, São Paulo",(11) 2909-1354,
Auto Posto Maringá,"Av Júlio Buono 2526, Vila Gustavo, São Paulo",(11) 2201-1417,
Auto Posto Mc do Novo Mundo,"Al 1º Sarg Basílio Nogueira da Costa 67, Parque Novo Mundo, São Paulo",(11) 2193-2750,
Auto Posto Novo Ideal,"Rua Maria Cândida 1850, Vila Guilherme, São Paulo",(11) 2218-1493,
Auto Posto Novo México,"Av Júlio Buono 165, Vila Gustavo, São Paulo",(11) 2909-0987,
Auto Posto Stratus,"Rua Fortunato Minozzi 33, Imirim, São Paulo",(11) 2238-6700,
Autoposto 1090,"Av Prof Celestino Bourroul 1094, Limão, São Paulo",(11) 3856-7300,
Centro Aut Petronio Portela Ltda,"R Professor Joao Machado, 684, Freguesia Do O, São Paulo",,Ipiranga
Unigas A P Ltda,"Av Santa Marina, 2023, Freguesia Do O, São Paulo",,Ipiranga
A P Hygienopolis Ltda,"Av Angelica, 1322, Higienopolis, São Paulo",,Ipiranga
Itambe A P Ltda,"R Alagoas, 12, Higienopolis, São Paulo",,Ipiranga
A P Band 1 Ltda,"Al Dos Maracatins, 1818, Indianopolis, São Paulo",,Ipiranga
Grupo Mercantil De Petroleo,"R Jauaperi 1383, Indianopolis, São Paulo",,Ipiranga
A P Interlaken Ltda,"Av Interlagos, 2981, Interlagos, São Paulo",,Ipiranga
A P Thabor Ltda,"R Tabor, 217, Ipiranga, São Paulo",,Ipiranga
Joluce A P Ltda,"R Gal Lecor, 1144, Ipiranga, São Paulo",,Ipiranga
P De Serv Camacho Ltda,"R Santa Cruz, 1772, Ipiranga, São Paulo",,Ipiranga
P Colina Ltda,"R Gama Lobo, 1163, Ipiranga 5, São Paulo",,Ipiranga
A P Circulista Ltda,"R Iguatemi, 293, Itaim Bibi, São Paulo",,Ipiranga
Centro Automotivo Escocia Ltda,"Av Sargento Geraldo Sant'Ana 998, Jardim Taquaral, São Paulo",,Vibra/Petrobras
Centro Autom. Duque Estadao Ltda,"R Br De Resende 66, Ipiranga, São Paulo",,Vibra/Petrobras
A. P. Duque Helio Pellegrino 2 Ltda,"R Itaiopolis 6, Vila Uberabinha, São Paulo",,Vibra/Petrobras
Auto Posto Duque Morumbi Ltda,"Av Morumbi, 6122, Morumbi, São Paulo",,Vibra/Petrobras
Teca Servicos Automativos Ltda,"R Bela Cintra 1365, Consolacao, São Paulo",,Vibra/Petrobras
Walbrax 1 Auto Center Ltda,"Avenida Pires Do Rio, 458, Sao Miguel Paulista, São Paulo",,Vibra/Petrobras
Auto Posto Albano Ltda,"R Oratorio, 2413, São Paulo",,Shell
Auto Posto Albion Ltda,"Rua Albion, 302, São Paulo",,Shell
Auto Posto Aramina Ltda,"Av Itaberaba, 3675, São Paulo",,Shell
Auto Posto BE Ltda,"Av Morumbi, 8255, São Paulo",,Shell
Alcatraz Comb Conv Ltda,"Av Washington Luiz, 4547, São Paulo",,Shell
AP Luppi Ltda,"Av. Prof. Francisco Morato, 2950, São Paulo",,Shell
Auto Posto 102 Ltda,"Av das Nacoes Unidas, 22178, São Paulo",,Shell
Auto Posto Guairaca Ltda,"Est do Oratorio, 3546, São Paulo",,Shell
Auto Posto Interlagos Ltda,"Av Interlagos, 5950, São Paulo",,Shell
Posto Shell Vila Olímpia,"Av. dos Bandeirantes, 1365, Vila Olímpia, São Paulo",,Shell
Auto Posto MA Ltda,"Av. Rio das Pedras, 35, Vila Carrão, São Paulo",,Shell
Auto Posto 555 Ltda,"Rod. Fernão Dias, Km 84, Vila Galvão, São Paulo",,Shell
Cruzeiro Do Sul,"Av Santos Dumont, 2302, Cidade Ind Sateli, São Paulo",,Rede Duque
Salim Parque Servilha,"Av. Salim Farah Maluf, 3400, Parque Servilha, São Paulo",,Rede Duque
Portal do Horto,"Rua Rosalvo Ribeiro, 260, Horto Florestal, São Paulo",(11) 22225-2679,Rede Portal
Portal Imperatriz,"Avenida Imperatriz Leopoldina, 1389, Vila Leopoldina, São Paulo",(11) 3831-2703,Rede Portal
Portal Park,"Rua Voluntários da Pátria, 3029, Santana, São Paulo",(11) 9997-4938,Rede Portal
Portal Vila das Belezas,"Estrada de Itapecerica 662, Vila das Belezas, São Paulo",(11) 5812-2299,Rede Portal
Porto Seguro Combustiveis,"Avenida Valdemar Carlos Pereira, 937, Vila Tabarico, São Paulo",(11) 4798-6080,Rede Portal
Portuga S Lava Rapido,"Rua Guerino Giovani Leardini, 170, Vila Barreto, São Paulo",(11) 3998-9274,Rede Portal
Portugas Lava Rapido,"Avenida Joao Paulo I, 350, Parque Monteiro Soares, São Paulo",(11) 3998-9274,Rede Portal
Pop Auto Posto Shamma Ltda,"Rua Serra de Botucatu, 1151, Vila Gomes Cardim, São Paulo",(11) 7745-2221,Rede Portal
Portal da Guarapiranga,"Avenida Guarapiranga, 271, Vila Socorro, São Paulo",(11) 5093-6826,Rede Portal
Portal da Vila Guilherme,"Av Joaquina Ramalho, 474 A 498, Vila Guilherme, São Paulo",(11) 2901-8643,Rede Portal
